taxiid,tripid,avspeed,distance,duration
20000144,419623,618.2810206,11695.63935,120
20000089,419096,170.2236766,10503.07059,210
20000454,418708,128.4799068,1637.670082,45
20000574,418926,126.6902886,1172.34342,30
20000487,419240,123.9492691,11291.68019,315
20000040,419770,100.1913038,46729.75682,1665
20000435,419850,96.06669328,36970.63666,1650
20000429,417762,95.84017233,1188.739225,30
20000513,418495,91.98133189,4814.978465,180
20000534,419109,88.14702692,52883.81372,2145
20000189,419140,86.89682728,12408.33041,510
20000276,417622,86.64319621,17685.10964,720
20000199,419887,86.3478056,17829.27893,960
20000072,419470,84.48961701,9512.746655,390
20000261,418669,80.52811371,724.1672761,30
20000496,419162,79.87844384,16511.54791,735
20000496,418794,76.5082762,16176.54433,750
20000276,419827,73.87442127,5224.403076,240
20000013,417393,72.77512384,24864.74589,1215
20000351,417496,70.43368442,16295.03658,825
20000173,417268,69.81349226,18330.94348,930
20000341,419277,68.06943459,15458.98245,810
20000675,417474,67.94354846,11722.88637,615
20000021,419085,66.63873939,11764.08949,630
20000529,419561,66.61741729,14113.36455,750
20000472,418526,66.38571789,1690.962957,120
20000334,419009,66.31723493,18110.14731,975
20000514,418788,66.02454102,2204.042946,105
20000640,418910,65.99074461,17873.84695,960
20000463,417378,65.97756273,3231.118811,165
20000562,417652,65.81058944,15789.64086,855
20000367,417425,65.69598097,4024.373497,300
20000067,418878,64.99018737,5029.873546,270
20000030,418357,64.84645356,13735.00451,750
20000653,417535,64.39166562,12339.98621,675
20000436,417385,64.31445137,16607.46275,915
20000158,419349,64.17846723,10500.40452,585
20000010,418666,63.87498362,14122.34152,780
20000634,418840,62.98543256,5829.06159,330
20000477,417882,62.93283912,17281.30297,975
20000663,417918,62.49670001,717.8975081,45
20000472,418906,62.40276721,20410.70887,1170
20000513,419694,62.36158125,13777.07846,780
20000617,417529,62.29652339,13757.01441,780
20000542,419560,62.01802291,11618.45134,660
20000239,417509,62.01296925,11886.83737,675
20000598,417259,61.70222325,9413.142511,540
20000108,419884,61.69629529,16832.02745,975
20000060,418714,61.55386438,10642.93524,615
20000196,419572,61.21440695,12495.83498,720
20000431,417465,61.20076086,15214.67762,885
20000672,418842,60.7435417,8363.863762,480
20000436,417458,60.57661773,13278.99736,780
20000423,418778,60.5727964,24244.14225,1440
20000667,418887,60.39605226,2552.821741,165
20000060,419646,60.00422902,9694.647202,570
20000101,417482,59.81819451,13082.92144,780
20000370,417531,59.61350954,16795.92212,1005
20000361,419263,59.49646314,13197.18209,795
20000352,418845,59.1514403,2348.458254,135
20000356,419076,59.11495236,9845.891868,585
20000030,417670,59.06569733,12729.26774,765
20000099,418738,58.81495751,34730.06366,2115
20000477,417540,58.80003424,17156.31655,1035
20000160,418870,58.79430913,8973.618167,540
20000621,419127,58.75501844,18231.22423,1110
20000177,419498,58.68735144,14663.20811,885
20000672,419104,58.59499273,16127.05611,975
20000435,417471,58.51908872,20403.82978,1245
20000588,417852,58.3747847,20348.81427,1245
20000359,417548,58.2988186,18219.45787,1110
20000626,417742,58.28333323,17470.2799,1065
20000148,419503,58.26496819,9431.530188,570
20000005,418076,58.20551197,15512.99319,945
20000137,417734,58.18780685,14479.55304,885
20000653,417888,58.04240158,17177.00105,1050
20000395,417512,58.00848033,15833.42534,975
20000060,419835,58.00384696,19786.57691,1215
20000539,418822,57.87856203,12208.3743,750
20000331,418188,57.67010143,12497.56703,780
20000432,417805,57.50046049,11216.60178,690
20000337,417240,57.33967097,16045.297,1005
20000432,417506,57.20422514,13346.11502,825
20000031,418835,57.15783685,9285.619345,570
20000648,419564,57.02129735,16877.25444,1050
20000113,419004,56.2356165,10548.14353,660
20000004,417875,56.03767126,13790.50886,870
20000015,417336,56.01173904,16787.06497,1065
20000595,419897,55.84173837,13961.11986,885
20000648,417463,55.57911941,21537.59114,1380
20000454,418507,55.50218687,231.7244896,15
20000255,417984,55.35763897,15923.63736,1020
20000901,418998,55.16852637,9094.030401,585
20000249,418203,55.00136104,17880.72739,1155
20000086,418609,54.81748161,1368.945965,75
20000576,417991,54.4656236,14060.90265,915
20000649,417469,53.80354575,8887.317359,585
20000426,419548,53.7222467,11196.8178,735
20000460,419537,53.66016524,7751.071944,510
20000618,418561,53.61944934,1207.856168,120
20000621,417553,53.53536384,15391.0842,1020
20000042,419645,52.96864688,10817.95883,720
20000569,417299,52.60332203,12055.7861,810
20000470,419208,52.50941075,11169.18757,750
20000197,417928,52.47223335,13778.12221,930
20000067,417605,52.39291499,11789.46377,795
20000184,419045,52.34898271,17871.29166,1215
20000254,419964,52.14973362,18376.67817,1260
20000376,417429,51.84980962,13671.34731,960
20000572,418431,51.67269563,10713.44577,735
20000021,417835,51.54555204,9880.049379,675
20000066,417382,51.53507951,8596.445609,585
20000137,418706,51.51144083,2317.34726,225
20000167,417500,51.25967632,11498.10141,795
20000589,417766,51.21921683,17290.33069,1200
20000280,417516,51.17395477,11721.83682,810
20000565,419644,51.14964151,12570.01837,870
20000260,418847,51.12409026,6090.607112,420
20000154,417768,50.97891728,15711.97994,1095
20000104,419661,50.9063485,18027.03135,1260
20000269,417810,50.81464639,17490.15879,1230
20000621,418016,50.78926104,15930.15574,1125
20000031,419458,50.53099077,17892.22946,1260
20000331,417937,50.50012102,17471.27885,1230
20000588,417579,50.44258149,16475.31354,1170
20000305,417426,50.43908269,18225.3133,1290
20000251,419986,50.34814355,8037.372205,570
20000386,418078,50.32556359,4096.840367,285
20000565,417564,50.29751494,13205.27546,930
20000682,419141,50.29739269,12038.15559,855
20000276,418538,50.26260249,20997.33694,1500
20000128,419853,50.26019223,11090.72194,780
20000434,418482,50.19893034,13317.59366,945
20000307,417497,50.18013807,20498.70881,1455
20000341,419015,50.08820941,16987.43857,1215
20000123,419146,49.94105623,11246.78849,795
20000031,417792,49.87489088,14332.6096,1020
20000013,417563,49.86207853,15588.11691,1110
20000376,417974,49.85044827,39185.34375,2835
20000160,419781,49.81183593,18267.48704,1305
20000662,417853,49.77970145,13392.87861,960
20000632,417589,49.64650753,10130.46294,720
20000517,417457,49.55338467,17507.04802,1260
20000486,419122,49.54611476,16822.8559,1215
20000608,419447,49.48628742,9278.767364,660
20000688,419007,49.42199586,12116.22006,870
20000305,417728,49.41523194,16445.52768,1185
20000187,417603,49.36928517,3646.513185,255
20000192,418011,49.20971102,10241.32894,735
20000436,417612,49.20459837,11471.88244,825
20000440,418434,49.10055934,17599.59219,1275
20000431,417992,48.98570476,7731.036315,555
20000101,417745,48.96440036,33482.31245,2445
20000574,418190,48.94026064,13202.75027,960
20000500,418920,48.85250534,19147.18514,1395
20000140,417408,48.8184337,1655.294583,120
20000617,417847,48.811314,13821.28784,1005
20000151,419951,48.74291102,18049.64415,1320
20000540,417997,48.4967701,18189.45401,1335
20000349,419991,48.40424298,6103.951187,450
20000251,419286,48.39469301,6372.403363,465
20000136,418239,48.36812502,8056.332372,585
20000126,419296,48.14802517,11979.54883,885
20000665,419923,48.10086492,14792.98355,1095
20000012,418105,48.06267482,13210.67929,975
20000327,419082,47.85473213,12573.33054,930
20000588,419745,47.76130023,17828.36458,1335
20000018,418570,47.74520985,11528.74123,855
